,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_mhh_age,num_hh_ann_incm
4431,2017_HS3642000005,2017_HH13360008,3,2,1,1,6,1,2,99,3,1,1,12,2,3,3,3,3,13883.96,67,25000000
4432,2017_HS3642000006,2017_HH11360044,3,2,1,1,6,3,2,79.2,3,1,2,8,2,1,3,1,5,10602.81,67,12000000
4433,2017_HS3642000007,2017_HH11360045,3,2,1,1,6,4,1,39.6,2,1,1,3,4,1,3,2,5,4697.56,67,12000000
4434,2017_HS3642000008,2017_HH11360046,3,2,2,1,6,1,1,92.4,3,1,1,10,2,3,3,2,3,8146.37,67,12000000
4435,2017_HS3642000009,2017_HH11360047,3,2,1,1,6,1,1,59.4,2,1,1,4,2,3,3,2,3,8291.77,67,42000000
4436,2017_HS3642000010,2017_HH11360048,3,2,1,1,6,4,1,89.1,3,1,2,8,2,3,3,2,3,11890.46,55,54000000
4437,2017_HS3642000011,2017_HH11360049,3,2,1,1,6,1,4,105.6,4,1,2,5,2,1,3,2,3,9889.46,67,12000000
4438,2017_HS3642000012,2017_HH11360050,3,2,1,1,6,1,4,112.2,4,1,1,5,2,3,3,2,3,13690.62,67,54000000
4439,2017_HS3643000002,2017_HH17360037,3,2,3,13,3,4,5,79.2,3,1,1,5,1,1,4,3,1,11414.65,45,42000000
4440,2017_HS3643000003,2017_HH17360038,3,2,1,1,3,1,3,82.5,2,1,1,8,2,3,5,3,1,16053.6,45,25000000
4441,2017_HS3644000002,2017_HH17360039,3,2,3,1,4,1,4,79.2,2,1,1,4,1,3,4,2,5,12484.89341,67,12000000
4442,2017_HS3644000008,2017_HH11360074,3,2,2,3,4,1,3,85.8,3,1,1,8,1,3,4,1,3,11481.0344,55,18000000
4443,2017_HS3644000010,2017_HH17360040,3,2,1,1,4,1,3,198,2,1,1,4,1,3,3,2,1,3404.29,45,25000000
4444,2017_HS3644000011,2017_HH17360041,3,2,3,5,2,3,5,95.7,2,1,1,8,1,3,4,3,3,14912.56275,55,54000000
4445,2017_HS3644000012,2017_HH17360042,3,2,3,1,4,1,4,79.2,3,1,1,2,1,1,4,3,1,14957.15228,45,42000000
4446,2017_HS3644000014,2017_HH17360043,3,2,3,12,4,1,5,79.2,3,1,2,4,1,3,4,1,5,12375.63405,67,12000000
4447,2017_HS3644000015,2017_HH17360044,3,2,3,6,4,1,6,108.9,3,1,2,4,1,3,4,5,1,14972.59301,45,66000000
4448,2017_HS3644000016,2017_HH17360045,3,2,3,10,4,1,4,89.1,3,1,2,4,1,3,4,2,1,10659.10825,55,42000000
4449,2017_HS3644000017,2017_HH17360046,3,2,3,2,6,1,3,102.3,3,1,1,4,1,3,4,2,1,4678.39,55,66000000
4450,2017_HS3644000018,2017_HH11360072,3,2,3,11,4,3,5,66,3,1,1,6,1,1,4,2,1,5131.750249,55,42000000
4451,2017_HS3644000019,2017_HH11360073,3,2,1,2,5,1,6,115.5,3,1,2,14,2,1,3,4,1,9665.23,55,54000000
4452,2017_HS3644000020,2017_HH17360047,3,2,1,1,6,1,4,125.4,4,1,2,16,2,1,3,1,5,13135.7,67,12000000
4453,2017_HS3645000001,2017_HH17360048,3,2,2,1,6,2,4,92.4,3,1,1,4,1,1,3,1,3,5391.25,55,54000000
4454,2017_HS3645000002,2017_HH17360049,3,2,2,3,4,1,3,75.9,3,1,1,5,1,3,4,5,5,25925.78069,55,25000000
4455,2017_HS3645000003,2017_HH17360050,3,2,2,2,4,2,3,59.4,3,1,1,20,1,1,4,3,4,9925.75833,45,12000000
4456,2017_HS3645000004,2017_HH17360051,3,2,2,2,4,1,5,59.4,3,1,1,20,1,3,4,5,4,12127.4864,55,78000000
4457,2017_HS3645000005,2017_HH17360052,3,2,3,7,6,1,6,115.5,3,1,2,6,1,3,4,2,2,10917.14,67,12000000
4458,2017_HS3645000006,2017_HH17360053,3,2,3,10,6,1,4,82.5,3,1,1,4,1,3,4,3,3,8988.36,45,66000000
4459,2017_HS3645000007,2017_HH17360054,3,2,3,10,3,3,5,89.1,3,1,1,1,1,3,4,5,2,15348.59,45,66000000
4460,2017_HS3645000008,2017_HH17360055,3,2,2,3,4,3,3,56.1,3,1,1,3,1,3,4,4,4,16886.28,55,25000000
4461,2017_HS3645000009,2017_HH17360056,3,2,3,2,6,2,5,79.2,3,1,2,5,1,3,4,4,4,13950.13693,45,54000000
4462,2017_HS3646000003,2017_HH12360020,3,2,1,1,5,4,1,59.4,2,1,1,7,2,1,3,3,1,9209.92,67,25000000
4463,2017_HS3646000004,2017_HH12360021,3,2,1,1,5,4,4,95.7,3,1,1,7,2,1,3,4,3,9949.64,67,54000000
4464,2017_HS3646000005,2017_HH12360022,3,2,1,1,5,4,4,79.2,2,1,1,7,2,1,3,3,3,11430.88,67,54000000
4465,2017_HS3646000010,2017_HH17360057,3,2,2,1,6,1,5,66,2,1,1,8,2,3,3,4,1,6943.44,45,66000000
4466,2017_HS3646000011,2017_HH17360058,3,2,1,1,6,1,6,105.6,3,1,1,12,2,3,3,2,3,7877.4,55,54000000
4467,2017_HS3646000012,2017_HH17360059,3,2,2,2,5,1,5,59.4,1,1,1,10,4,1,3,2,3,5186.8,67,42000000
4468,2017_HS3646000013,2017_HH17360060,3,2,2,1,6,1,3,69.3,2,1,1,8,2,1,3,2,3,9191.48,67,18000000
4469,2017_HS3646000014,2017_HH17360061,3,2,1,1,6,1,5,115.5,3,1,2,14,2,3,3,4,1,8900.8,35,54000000
4470,2017_HS3646000015,2017_HH17360062,3,2,1,1,6,1,6,112.2,3,1,1,4,2,3,3,1,1,5563.6,35,42000000
4471,2017_HS3701100001,2017_HH12370036,2,2,1,1,5,3,1,85.8,3,1,1,6,2,3,3,4,3,9109.56,55,66000000
4472,2017_HS3701100002,2017_HH13370024,2,2,2,3,4,1,2,69.3,3,1,1,13,1,3,4,1,1,6320.7,35,25000000
4473,2017_HS3701100003,2017_HH16370004,2,2,2,1,5,1,3,99,3,1,1,8,1,3,4,3,3,5042.41,55,42000000
4474,2017_HS3701100004,2017_HH14370024,2,2,1,1,5,1,3,59.4,2,1,1,12,1,3,4,5,3,6257.086674,45,42000000
4475,2017_HS3701100006,2017_HH11370078,2,2,2,4,5,1,4,62.7,2,1,1,8,2,3,3,1,5,9815.92,67,12000000
4476,2017_HS3701100007,2017_HH11370079,2,2,2,2,4,2,4,62.7,2,1,1,8,1,3,4,2,1,7568.15,67,25000000
4477,2017_HS3701100008,2017_HH17370001,2,2,2,3,4,2,4,62.7,2,1,1,8,1,3,4,2,1,2922.850538,67,25000000
