,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,cat_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_tot_energy_heat
4269,2017_HS3503000018,2017_HH17350031,3,2,3,7,6,2,4,138.6,4,1,2,6,1,3,4,4,2,1,6,15245.373784000001
4270,2017_HS3503000019,2017_HH17350032,3,2,3,11,2,3,4,82.5,3,1,1,8,1,3,4,4,2,1,7,14188.797803
4271,2017_HS3503000020,2017_HH17350033,3,2,3,11,4,1,4,105.6,3,1,2,7,1,3,4,4,2,1,5,8987.355864
4272,2017_HS3503000021,2017_HH17350034,3,2,3,2,6,1,3,42.9,2,1,1,9,1,1,4,1,3,5,1,3716.6869156
4273,2017_HS3503000022,2017_HH17350035,3,2,3,7,6,2,4,79.19999999999997,2,1,1,2,1,1,4,1,3,3,2,20365.837772
4274,2017_HS3503000023,2017_HH17350036,3,2,3,1,6,2,2,52.8,2,1,1,4,1,3,4,2,2,1,5,12617.871453
4275,2017_HS3503000024,2017_HH17350037,3,2,1,1,4,3,1,89.1,3,1,1,4,1,3,4,5,2,1,7,21447.601819
4276,2017_HS3503000025,2017_HH17350038,3,2,2,1,6,1,2,82.5,3,1,1,7,2,3,3,1,3,5,1,9665.06
4277,2017_HS3503000026,2017_HH17350039,3,2,1,1,6,1,1,75.89999999999998,3,1,1,9,1,3,4,1,3,5,1,16819.409621000003
4278,2017_HS3503000027,2017_HH17350040,3,2,3,7,6,1,5,105.6,3,1,2,6,1,3,5,2,2,3,5,15654.071563999998
4279,2017_HS3505000001,2017_HH11350015,3,2,1,1,6,1,4,82.5,3,1,1,8,2,3,3,1,3,1,2,18437.4
4280,2017_HS3505000003,2017_HH11350016,3,2,1,1,6,2,4,108.9,4,1,1,5,2,3,3,2,2,1,4,11991.23
4281,2017_HS3505000004,2017_HH11350017,3,2,1,1,6,4,5,69.3,3,1,1,6,2,3,3,2,3,1,3,8499.18
4282,2017_HS3505000005,2017_HH11350018,3,2,1,1,6,4,4,108.9,4,1,1,5,2,1,3,2,2,1,3,7625.43
4283,2017_HS3505000007,2017_HH12350007,3,2,1,1,6,3,2,49.5,2,1,1,3,2,1,3,4,2,1,3,11131.2
4284,2017_HS3505000008,2017_HH11350020,3,2,1,1,6,1,4,75.89999999999998,4,1,2,8,2,3,3,2,2,1,2,6237.5
4285,2017_HS3506000002,2017_HH15350003,3,2,1,1,6,1,3,33.0,1,0,1,4,5,1,3,1,3,5,1,12447.66
4286,2017_HS3506000003,2017_HH12350005,3,2,1,1,6,3,3,29.7,1,0,1,2,5,3,4,1,3,5,1,15444.438406000001
4287,2017_HS3506000008,2017_HH17350041,3,2,3,3,6,1,4,79.19999999999997,3,1,1,6,1,3,4,4,2,1,5,12049.669743
4288,2017_HS3506000009,2017_HH15350002,3,2,1,1,4,1,1,66.0,1,1,1,2,5,1,3,1,3,5,1,14044.32
4289,2017_HS3506000010,2017_HH17350042,3,2,1,1,6,1,1,79.19999999999997,3,1,1,5,2,3,3,1,3,5,1,15587.22
4290,2017_HS3506000011,2017_HH17350043,3,2,1,1,6,1,3,79.19999999999997,3,1,1,6,2,3,3,1,3,5,1,8579.82
