,id_hh,id_hs,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_hus_age,num_tot_energy_heat
1537,HH13330030,HS3302000014,2,2,1,1,6,1,1995,95.7,3,1,14,2,3,3,3,3,3,2,24,7387.38
1538,HH14330006,HS3302000018,2,2,3,2,3,2,2003,79.2,3,1,10,1,3,4,3,2,1,3,16,10665.36
1539,HH14330007,HS3302000020,2,2,3,5,5,2,2003,79.2,3,1,9,1,3,4,1,2,5,1,16,4028.53
1540,HH12330029,HS3302000021,2,2,3,9,4,2,2003,79.2,3,1,8,1,3,4,3,2,1,5,16,10644.26
1541,HH13330034,HS3302000025,2,2,3,2,4,1,1996,66,2,1,8,1,3,4,2,3,1,2,23,6199.15
1542,HH13330035,HS3302000026,2,2,3,4,4,1,1996,66,2,1,7,1,1,4,2,2,3,3,23,6744.62
1543,HH16330024,HS3302000027,2,2,1,1,6,1,2004,82.5,2,1,6,2,3,3,1,3,5,1,15,6942.88
1544,HH12330028,HS3302000028,2,2,1,1,6,1,1993,99,2,1,8,1,3,4,3,2,1,4,26,6606.97
1545,HH17330001,HS3302000029,2,2,2,3,3,5,1988,49.5,2,1,3,2,1,3,2,3,5,1,31,14200.4
1546,HH12330016,HS3302000031,2,2,3,6,6,1,1996,66,2,1,8,1,3,4,3,2,1,3,23,7903.081592
1547,HH17330004,HS3302000033,2,2,3,3,2,3,1981,39.6,2,1,8,4,3,3,1,3,5,2,38,3998.14
1548,HH17330005,HS3302000034,2,2,3,3,6,1,1995,66,2,1,5,1,3,4,3,2,1,5,24,12316.43
1549,HH13330031,HS3302000036,2,2,3,10,6,1,1996,66,2,1,8,1,3,4,2,3,1,2,23,5160.79
1550,HH17330021,HS3302000038,2,2,1,1,6,2,2003,99,3,2,10,4,3,3,2,3,3,2,16,17752.12
1551,HH18330002,HS3302000039,2,2,3,6,3,4,2016,112.2,3,2,9,1,3,4,2,2,3,6,3,13026.81
1552,HH18330003,HS3302000040,2,2,3,3,6,1,2003,79.2,3,1,8,1,3,4,1,3,3,3,16,5590.049352
1553,HH18330006,HS3302000041,2,2,3,4,6,1,1996,66,2,1,8,1,3,4,1,3,5,1,23,4182.01
1554,HH18330004,HS3302000042,2,2,3,9,2,1,1996,79.2,3,1,8,1,3,4,1,3,3,3,23,7526.88
1555,HH14330001,HS3303000001,2,2,3,2,4,1,1997,62.7,2,1,8,1,3,4,4,2,1,3,22,5993.30281
1556,HH14330003,HS3303000005,2,2,3,2,6,1,1986,42.9,2,1,6,1,1,4,1,2,1,2,33,5773.29717
1557,HH18330001,HS3303000006,2,2,3,6,4,1,1997,85.8,2,1,8,1,1,4,1,3,5,1,22,10875.28928
1558,HH12330008,HS3304100001,2,2,2,1,5,5,1993,59.4,2,1,3,1,3,4,5,2,1,4,26,12802.8886
1559,HH12330009,HS3304100002,2,2,2,3,4,5,1993,59.4,2,1,4,1,3,4,3,2,1,3,26,10239.80395
1560,HH12330010,HS3304100003,2,2,2,3,4,5,1975,59.4,2,1,5,1,3,4,1,3,5,1,44,8507.16346
1561,HH13330007,HS3304100004,2,2,2,1,5,2,1993,66,2,1,10,1,3,4,2,3,5,1,26,5996.64765
1562,HH12330011,HS3304100005,2,2,2,1,5,5,1991,59.4,2,1,7,1,3,4,2,3,5,3,28,16401.55885
1563,HH16330006,HS3304100006,2,2,1,1,6,4,1971,95.7,3,1,12,4,1,3,2,3,2,1,48,14346.52
1564,HH16330007,HS3304100007,2,2,1,1,6,1,1986,66,3,1,6,2,3,3,2,3,3,2,33,11294.1
1565,HH11330010,HS3304100008,2,2,1,1,6,3,1968,92.4,3,2,8,4,1,3,2,3,3,3,51,13925.98
1566,HH11330011,HS3304100009,2,2,1,1,6,3,1989,128.7,3,1,6,4,3,3,2,3,3,4,30,28511.58
1567,HH16330008,HS3304100010,2,2,1,1,6,4,2009,115.5,3,2,16,4,3,3,2,3,1,4,10,21948.06
1568,HH13330008,HS3304100011,2,2,1,1,6,1,1995,85.8,3,1,7,4,3,3,5,2,1,5,24,13810.74
1569,HH17330007,HS3304100012,2,2,1,1,6,1,1987,82.5,2,1,6,1,3,4,3,3,3,6,32,8782.81856
1570,HH17330008,HS3304100013,2,2,3,8,2,1,1993,75.9,3,1,7,3,3,4,3,2,3,7,26,12572.27954
1571,HH11330012,HS3304200001,2,2,1,1,6,3,1985,85.8,3,2,8,1,3,4,2,3,2,2,34,17654.83744
1572,HH16330009,HS3304200002,2,2,2,4,5,1,1998,92.4,3,2,4,1,3,4,3,2,3,6,21,21995.9692
1573,HH16330010,HS3304200004,2,2,1,1,6,5,1976,59.4,3,1,10,2,1,3,2,3,4,2,43,9185.32
1574,HH14330004,HS3304200006,2,2,3,14,4,1,2007,33,1,1,2,3,1,4,1,3,5,1,12,12555.40343
1575,HH12330013,HS3304200008,2,2,2,2,4,1,1985,33,1,1,5,1,3,4,1,2,2,2,34,4221.60016
1576,HH16330012,HS3304200011,2,2,2,1,3,1,2005,23.1,1,1,4,1,3,4,1,3,5,1,14,4707.86065
